Fecha,Día,Fase,Sesión,Volumen,Ritmo objetivo,Zona FC,Notas del coach
2026-08-09,Domingo,Fase 3: Específico VO2 Max,CUESTAS A — Neuromuscular,8 km total,12 x 12 s cuesta a MÁXIMO,Z1 base + picos,Recuperación completa. Día ligero tras el fondo.
2026-08-10,Lunes,Fase 3: Específico VO2 Max,Recuperación,8 km,5:30,Z1,
2026-08-11,Martes,Fase 3: Específico VO2 Max,Series específicas 5K,6 x 1000 m,3:08-3:10,Z5,Recuperación 2 min. Semana de mayor carga.
2026-08-12,Miércoles,Fase 3: Específico VO2 Max,Rodaje suave,10 km,5:00,Z2,
2026-08-13,Jueves,Fase 3: Específico VO2 Max,Tempo continuo,2 cal + 6 tempo + 2 enf,Tempo 3:45-3:50,Z4,Un km más que la vez pasada.
2026-08-14,Viernes,Fase 3: Específico VO2 Max,Recuperación,8 km,5:20,Z1,
2026-08-15,Sábado,Fase 3: Específico VO2 Max,FONDO + final progresivo,18 km,15 km @ 4:45 + 3 km bajando a 4:10,Z2 → Z3,Fondo más largo de todo el bloque.
2026-08-16,Domingo,Fase 3: Específico VO2 Max,CUESTAS B — Fuerza-Resistencia,10 km total,10 x 45 s cuesta fuerte,Z5 en la repetición,Pico de carga en cuestas.
2026-08-17,Lunes,Fase 4: Pico de Forma,Recuperación,8 km,5:30,Z1,Empieza a bajar el volumen.
2026-08-18,Martes,Fase 4: Pico de Forma,Pista / Ritmo carrera,3 x 1500 m,3:10-3:12,Z4-Z5,Recuperación 3 min. Simulación parcial.
2026-08-19,Miércoles,Fase 4: Pico de Forma,Rodaje Z2,9 km,5:00,Z2,
2026-08-20,Jueves,Fase 4: Pico de Forma,Series cortas (velocidad),10 x 400 m,1:14 por vuelta,Z5,Recuperación 60 s.
2026-08-21,Viernes,Fase 4: Pico de Forma,Descanso activo,6 km,5:30,Z1,
2026-08-22,Sábado,Fase 4: Pico de Forma,FONDO + final progresivo,16 km,13 km @ 4:40 + 3 km a 4:05,Z2 → Z3,
2026-08-23,Domingo,Fase 4: Pico de Forma,CUESTAS A — Afilado,8 km total,10 x 10 s cuesta a MÁXIMO,picos,Explosividad pura. Cero fatiga residual.
2026-08-24,Lunes,Fase 4: Pico de Forma,Recuperación,6 km,5:30,Z1,
2026-08-25,Martes,Fase 4: Pico de Forma,TEST DE LACTATO,2 x 2000 m,3:10,Z5,Recuperación 3 min. Si sale — tienes el sub-16.
2026-08-26,Miércoles,Fase 4: Pico de Forma,Rodaje Z2,8 km,5:10,Z2,
2026-08-27,Jueves,Fase 4: Pico de Forma,Pista / Ritmo carrera,3 x 1500 m,3:10,Z4-Z5,
2026-08-28,Viernes,Fase 4: Pico de Forma,Descanso activo,6 km,5:30,Z1,
2026-08-29,Sábado,Fase 4: Pico de Forma,FONDO medio + progresión,14 km,11 km @ 4:40 + 3 km a 4:05,Z2 → Z3,Último fondo de verdad.
2026-08-30,Domingo,Fase 4: Pico de Forma,CUESTAS B — última carga,8 km total,6 x 45 s cuesta fuerte,Z5,Volumen reducido. Se acerca el taper.
2026-08-31,Lunes,Fase 5: Tapering y Carrera,Recuperación,6 km,5:20,Z1,Empieza el tapering.
2026-09-01,Martes,Fase 5: Tapering y Carrera,Series de afilado,6 x 400 m,3:10,Z4,Recordar el ritmo — NO fatigar.
2026-09-02,Miércoles,Fase 5: Tapering y Carrera,Rodaje suave,6 km,5:20,Z1-Z2,
2026-09-03,Jueves,Fase 5: Tapering y Carrera,Activación 5K,6 km total,Incluir 2 x 500 m a 3:10,Z2-Z5,Mantener tensión muscular.
2026-09-04,Viernes,Fase 5: Tapering y Carrera,DESCANSO TOTAL,0 km,-,-,Dormir e hidratar.
2026-09-05,Sábado,Fase 5: Tapering y Carrera,Trote pre-carrera + rectas,4 km + 4 x 80 m,Muy suave,Z1,Soltar nervios. Nada de fondo hoy.
2026-09-06,Domingo,Fase 5: Tapering y Carrera,CARRERA 5K,5 km,< 3:12 / km,Z5 (>188),¡A ROMPER LA BARRERA DE LOS 16 MINUTOS!
